Id	HGNC_symbol	Status	HGNC_ID	HGNC_name	GeneID	UniProt_AC	UniProt_ID	Domain	MGI_symbol	MGI_ID	UniProt_AC_Mm	UniProt_ID_Mm	GeneTag	GeneDesc	Function	Modification	PMID_function	Complex_name	Target	Specific_target	Product	UniProt_ID_target	PMID_target	Comment
17	ANP32B	#	16677	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B"	10541	Q92688	AN32B_HUMAN	"LRR_4 PF12799 88-136, Pfam-B_30686 PB030686 171-249"	Anp32b	1914878	Q9EST5	AN32B_MOUSE	ANP32	ANP32 acidic nuclear phosphoproteins	Histone chaperone	#	20538007	#	histone	"H3, H4"	#	#	20538007	The LRR domain of ANP32B possesses histone chaperone activity and forms a curved structure with a parallel beta-sheet on the concave side and mostly helical elements on the convex side. Analyses revealed that the interaction of ANP32B with the core histones H3-H4 occurs on its concave side
18	ANP32E	#	16673	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E"	81611	Q9BTT0	AN32E_HUMAN	"LRR_4 PF12799 88-133, LRR_8 PF13855 65-125, Pfam-B_38005 PB038005 215-262, Pfam-B_94319 PB094319 171-200"	Anp32e	1913721	P97822	AN32E_MOUSE	ANP32	ANP32 acidic nuclear phosphoproteins	"Histone chaperone, Histone modification read"	"#, #"	24463511	SWR	histone	H2A.Z	#	#	24463511	ANP32E interacts with a short region of the docking domain of H2A.Z through a new motif termed H2A.Z interacting domain (ZID).
19	APBB1	New	581	"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"	322	O00213	APBB1_HUMAN	"PID PF00640 370-509 543-664, Pfam-B_23321 PB023321 1-215, WW PF00397 255-283"	Apbb1	107765	Q9QXJ1	APBB1_MOUSE	#	#	Histone modification	#	21403922	#	histone	H2AX	#	#	#	"Chromatin acetylation, ??-amyloid precursor protein and its binding partner FE65 in DNA double strand break repair. UniProt: May act by specifically recognizing and binding histone H2AX phosphorylated on 'Tyr-142' (H2AXY142ph) at double-strand breaks (DSBs), recruiting other pro-apoptosis factors such as MAPK8/JNK1. Required for histone H4 acetylation at double-strand breaks (DSBs)."
20	APEX1	New	587	APEX nuclease (multifunctional DNA repair enzyme) 1	328	P27695	APEX1_HUMAN	"Exo_endo_phos PF03372 65-309, Pfam-B_21616 PB021616 1-39"	Apex1	88042	P28352	APEX1_MOUSE	#	#	DNA modification cofactor	DNA demethylation	#	#	DNA	#	#	#	#	UniProt: May play a role in the epigenetic regulation of gene expression by participating in DNA demethylation.
21	APOBEC1	#	604	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1"	339	P41238	ABEC1_HUMAN	APOBEC_N PF08210 17-186	Apobec1	103298	P51908	ABEC1_MOUSE	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	APOB_mRNA_editosome	"DNA, RNA"	"ssDNA, mRNA, mC"	U	#	22001110	"Fig. A2 in the reference (APOBEC1 or A1 has no known mammalian DNA substrate but it has DNA deaminase activity sufficient to induce reversion mutations when overexpressed in E. coli. In addition, A1 expressed in neurons may have a protective function against HSV (Herpers simplex virus) that involves ssDNA deamination of the viral genome)."
22	APOBEC2	#	605	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2"	10930	Q9Y235	ABEC2_HUMAN	"APOBEC_C PF05240 159-216, Pfam-B_38491 PB038491 1-39"	Apobec2	1343178	Q9WV35	ABEC2_MOUSE	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	"21496894, 22001110"	#	"DNA, RNA"	"ssDNA, mRNA, mC"	hmU	#	"22001110, 21496894"	Fig. A2 in the reference
23	APOBEC3A	#	17343	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A"	200315	P31941	ABC3A_HUMAN	APOBEC_C PF05240 133-187	#	#	#	#	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	#	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	#	22001110	"Fig. A2 in the reference (Targets are exogenous retroviruses ssDNA like HIV, DNA viruses or transposable elements/ endogenous retroelements e.g. LINEs, SINEs and LTR)."
24	APOBEC3B	#	17352	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"	9582	Q9UH17	ABC3B_HUMAN	"APOBEC_C PF05240 316-370, APOBEC_N PF08210 11-190"	Apobec3	1933111	Q99J72	ABEC3_MOUSE	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	#	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	#	22001110	"Fig. A2 in the reference (Targets are DNA viruses or transposable elements/ endogenous retroelements e.g. LINEs, SINEs and LTR)."
25	APOBEC3C	#	17353	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C"	27350	Q9NRW3	ABC3C_HUMAN	APOBEC_C PF05240 128-182	#	#	#	#	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	#	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	#	22001110	"Fig. A2 in the reference (Targets are transposable elements/ endogenous retroelements e.g. LINEs, SINEs and LTR)."
26	APOBEC3D	#	17354	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D"	140564	Q96AK3	ABC3D_HUMAN	APOBEC_C PF05240 140-194 324-378	#	#	#	#	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	21835787	#	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	#	22001110	Fig. A2 in the reference (Targets are exogenous retroviruses ssDNA like HIV or transposable elements/ endogenous retroelements e.g. LINEs and SINEs).
27	APOBEC3F	#	17356	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F"	200316	Q8IUX4	ABC3F_HUMAN	APOBEC_N PF08210 3-189 199-373	#	#	#	#	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	APOB_mRNA_editosome	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	#	22001110	"Fig. A2 in the reference (Targets are exogenous retroviruses ssDNA like HIV, DNA viruses or transposable elements/ endogenous retroelements e.g. LINEs, SINEs and LTR)."
28	APOBEC3G	#	17357	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G"	60489	Q9HC16	ABC3G_HUMAN	APOBEC_N PF08210 3-182 202-380	#	#	#	#	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	APOB_mRNA_editosome	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	#	22001110	"Fig. A2 in the reference (Targets are exogenous retroviruses ssDNA like HIV, DNA viruses or transposable elements/ endogenous retroelements e.g. SINEs and LTR)."
29	APOBEC3H	#	24100	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H"	164668	Q6NTF7	ABC3H_HUMAN	"APOBEC_C PF05240 116-174, dCMP_cyt_deam_1 PF00383 24-99"	#	#	#	#	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	APOB_mRNA_editosome	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	#	22001110	"Fig. A2 in the reference (Targets are exogenous retroviruses ssDNA like HIV or transposable elements/ endogenous retroelements e.g. LINEs, SINEs and LTR)."
30	ARID1A	#	11110	AT rich interactive domain 1A (SWI-like)	8289	O14497	ARI1A_HUMAN	"ARID PF01388 1015-1104, DUF3518 PF12031 1975-2231, Pfam-B_16906 PB016906 451-499, Pfam-B_1854 PB001854 281-379"	Arid1a	1935147	A2BH40	ARI1A_MOUSE	ARID	#	Chromatin remodelling cofactor	#	18448678	"BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, WINAC, bBAF, SWI/SNF BRM-BRG1"	DNA	DNA motif	#	#	18448678	BAF250a=ARID1A mediated chromatin remodeling plays a critical role in maintaining a particular chromatin configuration of its target genes that is essential for ES pluripotency and mesoderm formation.
31	ARID1B	#	18040	AT rich interactive domain 1B (SWI1-like)	57492	Q8NFD5	ARI1B_HUMAN	"ARID PF01388 1050-1140, DUF3518 PF12031 1926-2182, Pfam-B_60945 PB060945 291-369, Pfam-B_7257 PB007257 371-449"	Arid1b	1926129	#	#	ARID	#	Histone modification write	Histone ubiquitination	20086098	"BAF, nBAF, npBAF, PBAF, SWI/SNF-like_EPAFa, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1"	"histone, DNA"	"H2BK120, DNA motif"	#	#	20086098	"The characteristic member of human SWI/SNF-A is BAF250/ARID1, of which there are two isoforms, BAF250a/ARID1a and BAF250b/ARID1b. The immunopurified BAF250b E3 ubiquitin ligase was found to target histone H2B at lysine 120 for monoubiquitination in vitro."
32	ARID2	#	18037	"AT rich interactive domain 2 (ARID, RFX-like)"	196528	Q68CP9	ARID2_HUMAN	"ARID PF01388 10-101, Pfam-B_11884 PB011884 1660-1747, Pfam-B_14804 PB014804 1051-1098, Pfam-B_649 PB000649 1529-1658, Pfam-B_6603 PB006603 1239-1268, RFX_DNA_binding PF02257 517-604"	Arid2	1924294	#	#	ARID	#	Chromatin remodelling cofactor	#	15640446	PBAF	DNA	DNA motif	#	#	15640446	"Extends the role of ARID-containing subunits as components of SWI/SNF-related chromatin-remodeling complexes. Analysis of ARID2 in the DNA pull-down assay (Figure 4) indicates that it binds DNA without sequence specificity, like all other known ARID-containing components of SWI/SNF-related complexes."
33	ARID4A	#	9885	AT rich interactive domain 4A (RBP1-like)	5926	P29374	ARI4A_HUMAN	"ARID PF01388 306-397, Pfam-B_1988 PB001988 1071-1111 1166-1240, RBB1NT PF08169 168-263, Tudor-knot PF11717 573-630"	Arid4a	2444354	#	#	ARID	#	Histone modification write cofactor	Histone acetylation	15640446	mSin3A	DNA	DNA motif	#	#	15640446	"ARID4 subfamily DNA-binding activity is represented here by RBP1 (ARID4A). Amino acid identity within the ARID consensus is 75% between RBP1 (ARID4A) and RBP1L1 (ARID4B), the only other member of this class. Both RBP1 and RBP1L1/SAP180 have been found in association with the mSIN3-histone deacetylase complex."
34	ARID4B	#	15550	AT rich interactive domain 4B (RBP1-like)	51742	Q4LE39	ARI4B_HUMAN	"ARID PF01388 304-394, Pfam-B_15110 PB015110 771-828, RBB1NT PF08169 166-264, Tudor-knot PF11717 569-626"	Arid4b	2137512	A2CG63	ARI4B_MOUSE	ARID	#	Histone modification write cofactor	Histone acetylation	15640446	mSin3A	DNA	DNA motif	#	#	15640446	"ARID4 subfamily DNA-binding activity is represented here by RBP1 (ARID4A). Amino acid identity within the ARID consensus is 75% between RBP1 (ARID4A) and RBP1L1 (ARID4B), the only other member of this class. Both RBP1 and RBP1L1/SAP180 have been found in association with the mSIN3-histone deacetylase complex."
35	ARNTL	#	701	aryl hydrocarbon receptor nuclear translocator-like	406	O00327	BMAL1_HUMAN	"HLH PF00010 73-126, PAS PF00989 146-253, PAS_11 PF14598 337-444, Pfam-B_2781 PB002781 455-619"	Arntl	1096381	Q9WTL8	BMAL1_MOUSE	bHLH	Basic helix-loop-helix proteins	"Histone modification write cofactor, TF"	"#, TF activator"	"14645221, 24395244"	#	histone	#	#	#	"14645221, 24395244"	"The coincidence of a rhythm in histone H3 and histone H4 acetylation on the proximal E-box of hPer1 with transcriptional activation of per1 and per2 is consistent with the heterodimeric complexes of CLOCK, NPAS2 and BMAL1 = ARNTL recruiting a histone acetyltransferase (HAT)-containing transcriptional co-activation complex to achieve maximal target gene activation; CLOCK:BMAL1 functions like pioneer transcription factors and regulates the DNA accessibility of other transcription factors."
36	ARRB1	New	711	"arrestin, beta 1"	408	P49407	ARRB1_HUMAN	"Arrestin_C PF02752 193-356, Arrestin_N PF00339 18-174"	Arrb1	99473	Q8BWG8	ARRB1_MOUSE	#	#	Histone modification	#	"17618287, 16325578"	#	histone	#	#	#	#	Recruits acetylase p300. Regulates histone acetylation and gene transcription. UniProt: Functions in regulating agonist-mediated G-protein coupled receptor (GPCR) signaling by mediating both receptor desensitization and resensitization processes.
37	ASF1A	#	20995	anti-silencing function 1A histone chaperone	25842	Q9Y294	ASF1A_HUMAN	ASF1_hist_chap PF04729 1-154	Asf1a	1913653	Q9CQE6	ASF1A_MOUSE	#	#	Histone chaperone	#	10759893	#	histone	"H3, H4"	#	#	10759893	"CIA=ASF1A binds to histones H3/H4 in vitro, and the interacting region of histone H3 is located in the C-terminal helices. Human CIA, whose yeast homologue ASF1 is an anti-silencing factor, possesses histone chaperone activity"
38	ASF1B	#	20996	anti-silencing function 1B histone chaperone	55723	Q9NVP2	ASF1B_HUMAN	ASF1_hist_chap PF04729 1-154	Asf1b	1914179	Q9DAP7	ASF1B_MOUSE	#	#	Histone chaperone	#	12842904	#	histone	"H3, H4"	#	#	12842904	hCIA-II=ASF1B interacts with histone H3 in vivo and with histones H3/H4 in vitro and that it facilitates supercoiling of circular DNA when it is incubated with core histones and topoisomerase I in vitro. These data suggest that CIA-II is a histone chaperone and is implicated in the regulation of mammalian spermatogenesis.
39	ASH1L	#	19088	"ash1 (absent, small, or homeotic)-like (Drosophila)"	55870	Q9NR48	ASH1L_HUMAN	"BAH PF01426 2661-2798, Bromodomain PF00439 2453-2538, PHD PF00628 2587-2631, Pfam-B_14208 PB014208 1818-1847, Pfam-B_18246 PB018246 2310-2419, Pfam-B_25586 PB025586 1473-1507, Pfam-B_4663 PB004663 1023-1054 1180-1377, Pfam-B_6310 PB006310 1509-1554, SET PF00856 2156-2261"	Ash1l	2183158	Q99MY8	ASH1L_MOUSE	"KMT, PHF"	"Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type"	Histone modification write	Histone methylation	21239497	#	histone	H3K36	H3K36me	#	21239497	Human ASH1L specifically methylates histone H3 Lys-36. Implicates that there may be a regulatory mechanism of ASH1L histone methyltransferases.
40	ASH2L	#	744	"ash2 (absent, small, or homeotic)-like (Drosophila)"	9070	Q9UBL3	ASH2L_HUMAN	"Pfam-B_11232 PB011232 499-622, Pfam-B_12412 PB012412 361-417, SPRY PF00622 418-497"	Ash2l	1344416	Q91X20	ASH2L_MOUSE	PHF	"Zinc fingers, PHD-type"	Histone modification write cofactor	Histone methylation	21285357	"COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4"	histone	#	#	#	21285357	"The oncoprotein Ash2L is a component of the mixed lineage leukemia (MLL) family members 1?€?4, Setd1A, and Setd1B mammalian histone H3K4 methyltransferase complexes and is essential to maintain global trimethylation of histone H3K4."
41	ASXL1	#	18318	additional sex combs like transcriptional regulator 1	171023	Q8IXJ9	ASXL1_HUMAN	"ASXH PF13919 231-362, HARE-HTH PF05066 11-83, PHD_3 PF13922 1475-1539, Pfam-B_4087 PB004087 970-1084"	Asxl1	2684063	P59598	ASXL1_MOUSE	#	#	"Histone modification erase, Polycomb group (PcG) protein"	"Histone deubiquitination, #"	20436459	PR-DUB	histone	H2AK119	H2AK119ub1	#	20436459	Reconstituted recombinant Drosophila and human PR-DUB=ASXL1 complexes remove monoubiquitin from H2A but not from H2B in nucleosomes.
42	ASXL2	#	23805	additional sex combs like transcriptional regulator 2	55252	Q76L83	ASXL2_HUMAN	"ASXH PF13919 249-381, HARE-HTH PF05066 11-83, PHD_3 PF13922 1370-1433, Pfam-B_4087 PB004087 944-1090"	Asxl2	1922552	Q8BZ32	ASXL2_MOUSE	#	#	Histone modification read	#	21047783	#	histone	"H3K4, H3K9"	#	#	21047783	"ASXL2 occupies the aP2 promoter together with histone-lysine N-methyltransferase MLL1 and Lys-9-acetylated and Lys-4-methylated H3 histones. Microarray analysis demonstrated that ASXL1 represses, whereas ASXL2 increases, the expression of adipogenic genes."
43	ASXL3	#	29357	additional sex combs like transcriptional regulator 3	80816	Q9C0F0	ASXL3_HUMAN	"ASXH PF13919 229-361, HARE-HTH PF05066 10-81, PHD_3 PF13922 2183-2246, Pfam-B_17129 PB017129 941-1279, Pfam-B_20113 PB020113 751-939, Pfam-B_27498 PB027498 1341-1411, Pfam-B_34336 PB034336 1281-1339, Pfam-B_6874 PB006874 601-669"	Asxl3	2685175	Q8C4A5	ASXL3_MOUSE	#	#	"Scaffold protein, Polycomb group (PcG) protein"	"#, #"	23736028	#	histone	#	#	#	23736028	"ASXL family members are epigenetic scaffolding proteins that assemble epigenetic regulators and transcription factors to specific genomic loci with histone modifications, contain PHD domain."
44	ATAD2	#	30123	"ATPase family, AAA domain containing 2"	29028	Q6PL18	ATAD2_HUMAN	"AAA PF00004 463-598, Bromodomain PF00439 993-1075, Pfam-B_11064 PB011064 870-958, Pfam-B_23116 PB023116 1-56, Pfam-B_40477 PB040477 57-79"	Atad2	1917722	Q8CDM1	ATAD2_MOUSE	AATP	ATPases / AAA-type	Chromatin remodelling	#	17998543	#	chromatin	#	#	#	17998543	"Although ANCCA=ATAD2 may not be critical for ER?? recruitment to its target genes, it plays an important role in the recruitment or assembly of ER???€?CBP complex at the chromatin and hence the histone modifications mediated by the complex."
45	ATAD2B	#	29230	"ATPase family, AAA domain containing 2B"	54454	Q9ULI0	ATD2B_HUMAN	"AAA PF00004 437-572, Bromodomain PF00439 967-1050, Pfam-B_11064 PB011064 896-932, Pfam-B_130965 PB130965 330-388"	Atad2b	2444798	#	#	AATP	ATPases / AAA-type	Histone modification read	#	15308210	#	histone	"H1.4, H2A, H2B, H3 and H4"	#	#	15308210	"Binds acetylated lysine residues in histone H1.4, H2A, H2B, H3 and H4 (in vitro)."
46	ATF2	#	784	activating transcription factor 2	1386	P15336	ATF2_HUMAN	bZIP_1 PF00170 349-413	Atf2	109349	P16951	ATF2_MOUSE	bZIP	Basic leucine zipper proteins	"Histone modification write, TF"	"Histone acetylation, TF activator"	10821277	#	"histone, DNA"	"H2B, H4, DNA motif"	#	#	10821277	"ATF-2 is a histone acetyltransferase (HAT), which specifically acetylates histones H2B and H4 in vitro, exhibits histone acetyltransferase (HAT) activity."
47	ATF7IP	#	20092	activating transcription factor 7 interacting protein	55729	Q6VMQ6	MCAF1_HUMAN	Pfam-B_2570 PB002570 450-518	Atf7ip	1858965	Q7TT18	MCAF1_MOUSE	#	#	Histone modification write cofactor	Histone methylation	14536086	#	histone	#	#	#	14536086	Promoter H3-K9 trimethylation is the cause of transcriptional repression and that mAM/hAM facilitates conversion of H3-K9 dimethyl to trimethyl by ESET/SETDB1.
